related_law,질문,답변
"['민법 580조', '민법 582조']","전원주택을 짓기 위해 교외에 토지 1,000㎡을 샀습니다. 잔금을 치르고 소유권이전등기까지 마친 상태에서 주택 건설을 위한 실측을 하였더니 1,000㎡이 아니라 900㎡입니다. 매도인에게 따졌더니 자기도 속은 거라면서 모르쇠로 일관합니다. 어떻게 하면 될까요?","매매당사자가 수량을 지정해서 매매 시 매매계약 당시 수량을 지정한 매매의 목적물이 부족하게 된 것과 매매목적물의 일부가 계약 당시에 이미 멸실된 것을 몰랐다면 그 사실을 안 날로부터 1년 이내에 부족한 부분 또는 멸실된 부분의 비율로 대금의 감액을 청구할 수 있으며,잔존한 부분 만이라면 이를 매수하지 않았을 때에는 계약전부를 해제할 수 있고, 손해배상도 청구할 수 있습니다.
☞ “매도인의 담보책임”이란 매매계약의 이행이 완료되어 매수인에게 소유권이 이전된 경우라도, 매매의 목적인 권리나 물건에 흠결(欠缺)이 있는 때에 매도인이 매수인에 대해 부담하는 책임을 말합니다.
☞ 매매당사자가 수량을 지정해서 매매 시 매수인이 매매계약 당시 수량을 지정한 매매의 목적물이 부족하게 된 것과 매매목적물의 일부가 계약 당시에 이미 멸실된 것을 안 경우"
"['소득세법 시행령 154조', '소득세법 시행령 155조', '소득세법 89조']","1세대 1주택의 경우 양도소득세가 부과되지 않는다고 하던데, 1세대 1주택의 요건은 무엇인가요?","거주자 및 그 배우자가 그들과 동일한 주소 또는 거소에서 생계를 같이 하는 가족과 함께 구성하는 1세대이고 양도일(주택의 매매계약을 체결한 후 해당 계약에 따라 주택을 주택 외의 용도로 용도변경하여 양도하는 경우에는 해당 주택의 매매계약일을 말함. 이하 같음) 현재 국내에 1주택을 보유하고 있는 경우로서, 현재 국내에 1주택을 보유하고 있으며 해당 주택의 보유기간이 2년 이상인 경우 해당 주택의 보유기간이 2년 이상인 것[취득 당시에 「주택법」 제63조의2제1항제1호에 따른 조정대상지역에 있는 주택의 경우에는 해당 주택의 보유기간이 2년(비거주자가 해당 주택을 3년 이상 계속 보유하고 그 주택에서 거주한 상태로 거주자로 전환된 경우에는 해당 주택에 대한 거주기간 및 보유기간이 3년) 이상이고 그 보유기간 중 거주기간이 2년 이상인 경우]에는 1세대 1주택으로 양도소득세가 부과되지 않습니다.
☞ “양도소득세”란 자산에 대한 등기 또는 등록에 관계없이 매도, 교환, 법인에 대한 현물출자 등으로 인해 그 자산이 유상으로 사실상 이전(이하 “양도”라 함)하여 발생하는 소득에 대해 부과되는 세금을 말합니다.
☞ 다음의 경우에도 1세대 1주택으로 봅니다.
1세대 1주택 인정조건 | 1세대 1주택 인정시기
1주택을 소유한 1세대가 그 주택(이하 '종전의 주택'이라 함)을 양도하기 전에 다른 주택(이하 '신규 주택'이라 함)을 취득(자기가 건설해 취득하는 경우 포함함)함으로써 일시적으로 2주택이 된 경우 | 종전의 주택을 취득한 날부터 1년 이상이 지난 후 신규 주택을 취득하고 그 신규 주택을 취득한 날부터 3년 이내에 종전의 주택을 양도하는 경우
1주택을 보유하고 1세대를 구성하는 자가 1주택을 보유하고 있는 60세 이상의 직계존속(다음 각 호의 사람을 포함)을 동거봉양하기 위하여 세대를 합침으로써 1세대가 2주택을 보유하게 된 경우 1. 배우자의 직계존속으로서 60세 이상인 사람 2. 직계존속(배우자의 직계존속을 포함함) 중 어느 한 사람이 60세 미만인 경우 3. 「국민건강보험법 시행령」 별표 2 제3호가목3), 같은 호 나목2) 또는 같은 호 마목에 따른 요양급여를 받는 60세 미만의 직계존속(배우자의 직계존속을 포함함)으로서 「소득세법 시행규칙」으로 정하는 사람 | 합친 날부터 10년 이내에 먼저 양도하는 주택
· 1주택을 보유하는 자가 1주택을 보유하는 자와 혼인함으로써 1세대가 2주택을 보유하게 된 경우 · 1주택을 보유하고 있는 60세 이상의 직계존속을 동거봉양하는 무주택자가 1주택을 보유하는 자와 혼인함으로써 1세대가 2주택을 보유하게 된 경우 | 각각 혼인한 날부터 10년 이내에 먼저 양도하는 주택
1세대가 지정문화유산·국가등록문화유산 및 천연기념물 등에 해당하는 주택과 그 밖의 주택(이하 “일반주택”이라 함)을 국내에 각각 1개씩 소유하는 경우 | 일반주택을 양도하는 경우
1세대가 다음의 주택으로서 「수도권정비계획법」 제2조제1호에 따른 수도권(이하 “수도권”이라 함) 밖의 지역 중 읍지역(도시지역안의 지역을 제외함) 또는 면지역에 소재하는 주택(이하 “농어촌주택”이라 함)과 일반주택을 국내에 각각 1개씩 소유하는 경우 · 상속받은 주택(피상속인이 취득 후 5년 이상 거주한 사실이 있는 경우에 한함) · 이농인(어업에서 떠난 자를 포함함)이 취득일 후 5년 이상 거주한 사실이 있는 이농주택 · 영농 또는 영어의 목적으로 취득한 귀농주택(주택을 취득한 날부터 5년 이내에 일반주택을 양도하는 경우에 한정하여 적용됨) | 일반주택을 양도하는 경우
1세대가 취학, 근무상의 형편, 질병의 요양, 그 밖에 부득이한 사유(이하 “부득이한 사유”라 함)로 취득한 수도권 밖에 소재하는 주택과 일반주택을 국내에 각각 1개씩 소유하는 경우 | 부득이한 사유가 해소된 날부터 3년 이내에 일반주택을 양도하는 경우
장기임대주택 또는 장기가정어린이집과 그 밖의 1주택을 소유하고 있는 1세대가 다음 요건을 충족하고 해당 1주택(이하 “거주주택”이라 함)을 양도하는 경우  ※ 이 경우 해당 거주주택을 민간임대주택으로 등록하였거나 인가를 받아 가정어린이집으로 사용한 사실이 있고 그 보유기간 중에 양도한 다른 거주주택(양도한 다른 거주주택이 둘 이상인 경우에는 가장 나중에 양도한 거주주택을 말함. 이하 “직전거주주택”이라 함)이 있는 거주주택인 경우에는 직전거주주택 양도일 후의 기간분에 대해서만 국내에 1개의 주택을 소유하고 있는 것으로 봄 | 다음의 요건을 충족하는 해당 거주주택을 양도하는 경우  1. 거주주택의 보유기간 중 거주기간이 2년 이상이고, 거주주택의 양도일 현재 장기임대주택 사업자등록을 하고 장기임대주택을 민간임대주택으로 등록하여 임대하고 있으며, 임대료등의 증가율이 100분의 5를 초과하지 않을 것  2. 거주주택의 보유기간 중 거주기간이 2년 이상이고, 거주주택의 양도일 현재 장기가정어린이집 사업자등록을 하고 장기가정어린이집을 운영하고 있을 것"
"['부동산 거래신고 등에 관한 법률 10조', '부동산 거래신고 등에 관한 법률 11조']",뉴타운 건설 소식을 듣고 해당 지역의 토지를 매수하는 매매계약을 체결하였습니다. 그런데 알고 보니 뉴타운 건설에 따라 국토교통부에서 해당 지역에 대하여 토지거래허가구역으로 설정해 놓았더군요. 허가 없이 매매계약을 체결했으니 그 계약은 무효인가요?,"「국토의 계획 및 이용에 관한 법률」에 따르면 토지거래허가를 받지 않고 체결한 토지거래계약은 효력이 없다고 봅니다. 이에 대하여 판례는 허가를 받지 못한 매매 등의 거래행위의 효력은 무효이지만, 일단 허가를 받으면 그 계약은 소급해서 유효가 되고 이와 달리 불허가가 된 때에는 무효로 확정되므로 허가를 받기 전까지는 유동적 무효의 상태에 있다고 합니다. 따라서 질문의 경우 매수인과 매도인이 공동으로 시장·군수·구청장의 허가를 받으면 해당 매매계약은 처음부터 유효한 것이 됩니다.
☞ “토지거래허가제”란 국토의 이용 및 관리에 관한 계획의 원활한 수립 및 집행, 합리적 토지이용 등을 위하여 토지의 투기적인 거래가 성행하거나 지가가 급격히 상승하는 지역과 그러한 우려가 있는 지역에 대해 5년 이내의 기간을 정하여 국토교통부장관 또는 특별시장·광역시장·특별자치시장·도지사·특별자치도지사가 토지거래계약에 대해 허가를 받도록 하는 제도를 말합니다.
☞ 허가구역 안에 있는 토지에 대해 토지거래계약을 체결하려는 당사자는 공동으로 시장·군수 또는 구청장의 허가를 받아야 합니다. 허가받은 사항을 변경하려는 경우에도 허가를 받아야 합니다.
☞ 토지거래허가를 받지 않고 체결한 토지거래계약은 효력이 발생하지 않습니다. 판례는 허가를 받지 못한 매매 등의 거래행위의 효력은 무효이지만, 일단 허가를 받으면 그 계약은 소급해서 유효가 되고 이와 달리 불허가가 된 때에는 무효로 확정되므로 허가를 받기 전까지는 유동적 무효의 상태에 있다고 합니다."
"['부동산등기법 23조', '공간정보의 구축 및 관리 등에 관한 법률 89조', '부동산등기규칙 54조']",근저당권자인 회사의 주소가 3년 동안 5번 변경되었는데 변경등기를 하지 못했습니다. 현재의 주소로 등기명의인 표시변경등기를 하려면 그간 주소로 5번의 변경등기를 해야 하는 건가요?,"아닙니다. 근저당권자인 회사의 본점이 여러 번 이전되었을 경우 중간의 변경사항을 생략하고 최종 본점소재지로 등기명의인의 표시변경등기를 할 수 있습니다.
◇ 등기명의인 표시변경등기
◇ 등기명의인 표시경정등기와의 차이점
◇ 부동산의 표시변경등기와의 차이점"
['부동산등기법 24조'],A의 토지에 B와 C가 가등기를 했습니다. 이 중 B 소유에 해당하는 절반의 지분에만 소유권 이전 본등기를 할 수 있나요?,"안 됩니다. 가등기에 기한 소유권이전 본등기 신청은 가등기된 지분 전부에 해야 하고 그 일부 지분에만 본등기 신청을 할 수 없습니다.
그 일부 지분에만 본등기를 신청하기 위해서는, 먼저 가등기에 대해 일부 말소 의미의 경정등기를 해 본등기를 하려는 지분만큼 가등기 지분을 경정해야 합니다.
◇ 가등기에 기한 소유권 이전 본등기
◇ 등기신청방법"
"['주택도시기금법 8조', '주택도시기금법 시행령 8조']",저는 서울에 시세 2억원인 단독주택을 매입했습니다. 소유권 이전등기를 하려는데 국민주택채권을 매입하면서 내야 하는 금액은 얼마인가요?,"따라서 2억원(매매가와 시가표준액이 같을 경우) × 23/1,000 = 460만원입니다
◇ 국민주택채권의 매입기준
등기 종류 | 건물 형태 | 시가표준액 | 지역 | 매입률
소 유 권 이 전 등 기 | 주 택 | 시가표준액 2천만원 이상 5천만원 미만 | 서울특별시, 광역시 | 시가표준액의 13/1,000
기타 지역 | 시가표준액의 13/1,000
시가표준액 5천만원 이상 1억원 미만 | 서울특별시, 광역시 | 시가표준액의 19/1,000
기타 지역 | 시가표준액의 14/1,000
시가표준액 1억원 이상 1억6천만원 미만 | 서울특별시, 광역시 | 시가표준액의 21/1,000
기타 지역 | 시가표준액의 16/1,000
시가표준액 1억6천만원 이상 2억6천만원 미만 | 서울특별시, 광역시 | 시가표준액의 23/1,000
기타 지역 | 시가표준액의 18/1,000
시가표준액 2억6천만원 이상 6억원 미만 | 서울특별시, 광역시 | 시가표준액의 26/1,000
기타 지역 | 시가표준액의 21/1,000
시가표준액 6억원 이상 | 서울특별시, 광역시 | 시가표준액의 31/1,000
기타 지역 | 시가표준액의 26/1,000
토 지 | 시가표준액 5백만원 이상 5천만원 미만 | 서울특별시, 광역시 | 시가표준액의 25/1,000
기타 지역 | 시가표준액의 20/1,000
시가표준액 5천만원 이상 1억원 미만 | 서울특별시, 광역시 | 시가표준액의 40/1,000
기타 지역 | 시가표준액의 35/1,000
시가표준액 1억원 이상 | 서울특별시, 광역시 | 시가표준액의 50/1,000
기타 지역 | 시가표준액의 45/1,000
주택 및 토지 외의 부동산 | 시가표준액 1천만원 이상 1억3천만원 미만 | 서울특별시, 광역시 | 시가표준액의 10/1,000
기타 지역 | 시가표준액의 8/1,000
시가표준액 1억3천만원 이상 2억5천만원 미만 | 서울특별시, 광역시 | 시가표준액의 16/1,000
기타 지역 | 시가표준액의 14/1,000
시가표준액 2억5천만원 이상 | 서울특별시, 광역시 | 시가표준액의 20/1,000
기타 지역 | 시가표준액의 18/1,000"
['부동산등기법 24조'],A와 B가 C에게 돈을 빌려주면서 C의 아파트에 근저당권 설정등기를 하려고 합니다. A와 B 각각의 명의로 돈을 낸 비율에 따라 동순위의 근저당권을 설정하고 싶은데 가능한가요?,"안 됩니다. 동일 부동산에 대해 A와 B를 공동채권자로 하는 하나의 근저당권설정계약을 체결한 경우, 각 채권자별로 채권최고액을 구분해 등기하거나 A와 B를 각각 근저당권자로 하는 2개의 동순위의 근저당권 설정등기를 신청할 수 없습니다.
따라서, 채권자들은 한 채권최고액으로 한 개의 근저당권 설정등기만을 할 수 있습니다.
◇ 근저당권 설정등기
◇ 등기신청방법"
['부동산등기 특별조치법 2조'],A와 B 사이에 부동산 매매계약이 체결된 후 소유권 이전등기가 되기 전에 다시 B에서 C로 매매계약이 체결되었습니다. 그러나 순차 매도한 당사자 사이의 중간생략등기 합의가 있었던 것은 아니었습니다. 이 경우 C가 A에게 직접 소유권 이전등기 청구를 할 수 있나요?,"원칙적으로 부동산 소유권 이전계약을 체결한 자가 다시 제3자에게 계약당사자의 지위를 이전하는 계약을 체결한 경우, 그 지위 이전계약의 체결일이 반대급부의 이행이 완료된 날 전일 경우에는 먼저 체결된 계약의 매도인으로부터 지위 이전계약의 양수인 앞으로 직접 소유권 이전등기를 신청할 수 있습니다.
그러나, 최초 양도인 A와 최후 양수인 C 사이에 중간등기 생략의 합의가 없는 경우 C는 A에게 직접 자기 명의로의 소유권 이전등기를 청구할 수 없습니다.
◇ 중간생략등기의 개념
◇ 중간생략등기에 대한 규제"
['부동산등기 특별조치법 2조'],A가 B의 부동산에 가압류를 해 두었는데 얼마 후 제3자가 같은 부동산에 처분금지 가처분등기를 했음을 알게 되었습니다. A가 경매신청을 해 경락을 받으면 제3자가 설정한 처분금지 가처분등기는 어떻게 되나요?,"가압류등기가 경료된 부동산에 제3자가 처분금지 가처분등기를 하고 그 후에 가압류권리자의 신청에 의한 강제경매 개시결정 및 그 기입등기와 그에 따른 경락이 이루어졌다면, 위 가처분권리자는 경락인에게 대항할 수 없을 것이므로, 경매법원의 촉탁에 의해 그 처분금지 가처분등기는 말소됩니다.
◇ 경매관련 등기"
['부동산등기규칙 68조'],인터넷을 통해 부동산등기신청을 하려고 합니다. 절차가 어떻게 되나요?,"인터넷을 통한 신청절차는 다음과 같습니다.
◇ 인증서의 발급
◇ 사용자등록"
"['부동산등기법 24조', '민법 305조']",건물에 전세권 설정등기를 했는데 주인이 그 대지에 다른 전세권을 설정한다고 합니다. 대지에 다른 전세권이 설정되면 저와 마찰이 있을 것 같은데 이렇게 대지에 다른 전세권을 설정하는 일이 가능한가요?,"대지와 건물이 같은 소유자의 것인데 건물을 사용하기 위해 건물에 대한 전세권을 설정한 경우 그 건물을 용도에 쫓아 사용·수익하려면 대지를 비롯해 필요한 범위에서 부근의 토지도 사용해야 할 것이므로, 건물에 전세권을 설정해 준 사람(임대인)이 대지 소유자인 경우에는 대지 등에 대한 다른 전세권을 설정하지 못합니다.
◇ 전세권 설정등기
◇ 등기신청방법"
"['민법 191조', '민법 311조', '민법 312조', '민법 314조', '민법 162조', '민법 543조', '부동산등기법 54조']",오피스텔에 전세권을 설정하려고 합니다. 이전 세입자에 대한 전세권설정등기가 되어 있던데 이를 말소하지 않고 제가 바로 전세권설정등기를 해도 되나요?,"안 됩니다. 건물 전세권의 존속기간이 만료된 경우에도 그 전세권설정등기를 말소하지 않고는 새로운 전세권 설정등기를 신청할 수 없습니다.
◇ 전세권 말소등기
◇ 전세권 말소등기의 원인"
"['빈집 및 소규모주택 정비에 관한 특례법 2조', '빈집 및 소규모주택 정비에 관한 특례법 시행령 2조', '농어촌정비법 2조']","부모님이 살고 계시던 집에 지금은 아무도 살지 않는데, 이것도 빈집일까요?","1년 이상 아무도 거주 또는 사용하지 않은 주택을 빈집이라고 합니다.
☞ 「빈집 및 소규모주택 정비에 관한 특례법」 및 「농어촌정비법」에서는 빈집을 다음과 같이 정의하고 있습니다.
빈집의 정의 | 조문
“빈집”이란 특별자치시장·특별자치도지사·시장·군수 또는 자치구의 구청장이 거주 또는 사용 여부를 확인한 날부터 1년 이상 아무도 거주 또는 사용하지 않은 주택을 말함  · 다음에 해당하는 경우는 빈집에서 제외  √ 공공임대주택  √ 건축허가 또는 사업계획승인을 받은 사람이 건축하여 보유하고 있는 미분양주택으로서 사용승인 또는 사용검사를 받은 후 5년이 경과하지 않은 주택  √ 기숙사, 다중생활시설, 노인복지시설 중 노인복지주택(「주택법 시행령」 제4조제1호부터 제3호까지)  √ 별장 등 일시적 거주 또는 사용을 목적으로 하는 주택 | 「빈집 및 소규모주택 정비에 관한 특례법」 제2조제1항제1호 및 「빈집 및 소규모주택 정비에 관한 특례법 시행령」 제2조
“빈집”이란 시장(특별자치시의 경우에는 특별자치시장을 말하고, 특별자치도의 경우에는 특별자치도지사를 말함)·군수·구청장(광역시 자치구의 구청장을 말함)이거주 또는 사용 여부를 확인한 날부터 1년 이상 아무도 거주하지 않거나 사용하지 않은 농어촌 주택이나 건축물을 말함 | 「농어촌정비법」 제2조제12호"
"['빈집 및 소규모주택 정비에 관한 특례법 2조', '빈집 및 소규모주택 정비에 관한 특례법 시행령 2조', '농어촌정비법 2조']",빈집이라면 모두 「빈집 및 소규모주택 정비에 관한 특례법」이 적용되는 건가요?,"농어촌 및 준농어촌에 해당하지 않는 경우에만 「빈집 및 소규모주택 정비에 관한 특례법」이 적용됩니다. 농어촌 및 준농어촌의 빈집은 「농어촌정비법」이 적용됩니다.
☞ 빈집정비사업에 관하여 「빈집 및 소규모주택 정비에 관한 특례법」이 다른 법률에 우선하여 적용됩니다.
☞ 다만, 「농어촌정비법」에 따른 다음의 농어촌 및 준농어촌에서는 「빈집 및 소규모주택 정비에 관한 특례법」이 적용되지 않습니다.
☞ 농어촌 및 준농어촌은 다음과 같습니다.
구분 | 내용
농어촌 | √ 농어촌의 읍·면의 지역 √ 「농업·농촌 및 식품산업 기본법 제3조제5호나목에 따른 농촌지역」에 따른 지역 √ 어촌의 읍·면의 지역 √ 어촌의 동 지역 중 상업지역 및 공업지역을 제외한 지역
준농어촌 | √ 광역시 관할 구역의 지방자치단체인 구의 구역 중 농어촌 외의 지역으로서 농업진흥지역과 개발제한구역"
"['빈집 및 소규모주택 정비에 관한 특례법 5조', '빈집 및 소규모주택 정비에 관한 특례법 시행령 6조']","도시지역의 빈집이 사회적으로 문제가 되고 있다고 하는데, 빈집에 대한 정보는 어떻게 파악하나요?","빈집실태조사를 통해 빈집에 대한 정보를 수집합니다. “빈집실태조사”란 특별자치시장·특별자치도지사·시장·군수 또는 자치구의 구청장(이하 “시장·군수등”이라 함)이 빈집 또는 빈집으로 추정되는 주택의 관리현황 및 안전상태 등을 파악하기 위한 조사를 말합니다.
☞ 시장·군수등은 빈집이나 빈집으로 추정되는 주택에 대하여 다음의 사항에 관한 조사를 5년마다 실시해야 합니다. 다만, 국토교통부장관이 요청하거나 시장·군수등이 필요하다고 인정하는 경우에는 수시로 실태조사를 실시할 수 있습니다.
1. 빈집 여부의 확인
2. 빈집의 관리 현황 및 방치기간
3. 빈집 소유권 등의 권리관계 현황
4. 빈집 및 그 대지에 설치된 시설 또는 인공구조물 등의 현황
5. 빈집 및 그 대지의 안전상태
6. 빈집의 대지에 인접한 도로 및 건축물 등의 현황
7. 빈집의 설계도서 현황
8. 빈집의 발생 사유
9. 위 1.부터 4.까지의 사항에 관한 빈집 소유자의 의견"
['빈집정비업무에 관한 처리지침 9조'],서울 등 대도시에도 빈집들이 꽤 있다고 들었는데 어떤 경우에 빈집으로 추정되나요?,"전기나 상수도 등의 사용량이 일정기준 아래인 경우 빈집으로 추정됩니다.
☞ 조사자는 다음의 자료 또는 정보를 취합·분석하여 아무도 거주 또는 사용하지 않은 것으로 확인한 기간의 최초 일부터 1년 이상이 경과한 주택을 빈집이나 빈집으로 추정되는 주택(이하 “빈집등”이라 함)으로 추정합니다.
· 전기 사용량
· 상수도 사용량
· 기타 에너지사용량
· 폐공가현황자료
☞ 빈집등의 추정기준은 다음과 같습니다.
구분 | 추정 사용량
전기 사용량 | √ 매월 사용량이 최근 12개월 이상 10 kWh 이하인 상태로 지속되는 경우 √ 매월 사용량이 최근 12개월 평균 사용량에서 ±5 kWh 범위에서 지속되는 경우 √ 최근 12개월 동안 사용량의 합계가 120 kWh 이하인 경우 √ 전기계량기가 사용이 중지된 상태로(사용량 0kWh) 최근 12개월 이상 지속되는 경우 √ 전기계량기가 철거된 경우
상수도 사용량 | √ 매월 사용량이 최근 12개월 이상 0(단수)인 상태로 지속되는 경우 √ 매월 사용량이 최근 12개월 이상 동일하게 지속되는 경우
기타 에너지 | 위에 준하는 경우
폐공가 | -"
['빈집정비업무에 관한 처리지침 9조'],"수도권에 노후대비로 구매해 놓은 빈집이 있습니다. 얼마 전 시에서 빈집실태조사를 한다며 출입해도 되냐고 하는데, 허가를 해줘야 하는 건가요?","특별자치시장·특별자치도지사·시장·군수 또는 자치구의 구청장(이하 “시장·군수등”이라 함) 또는 다음에 따른 전문기관의 장은 빈집의 실태조사를 위해 필요한 경우 빈집이나 빈집으로 추정되는 주택(이하 “빈집등”이라 함) 및 그 대지에 출입할 수 있습니다.
☞ 시장·군수등 또는 다음에 따른 전문기관의 장은 빈집의 실태조사를 위해 필요한 경우 빈집등 및 그 대지에 출입할 수 있습니다.
· 한국국토정보공사
· 국토연구원
· 지방공사
· 지방연구원
· 한국부동산원
· 한국토지주택공사
☞ 빈집에 대한 실태조사를 위해 시장·군수등 또는 위의 전문기관의 장이 빈집등 및 그 대지에 출입하는 경우 출입하는 날 7일 전까지 소유자·점유자 또는 관리인(이하 “소유자등”이라 함)에게 그 일시와 장소를 알려야 합니다. 다만, 소유자등의 부재나 주소불명 등으로 알릴 수 없는 경우에는 지방자치단체의 공보 및 홈페이지에 공고해야 합니다.
☞ 빈집의 실태조사를 위해 빈집등 및 그 대지에 출입하는 경우 출입허가증을 지니고 이를 관계인에게 내보여야 합니다."
['농어촌정비법 67조'],"농촌에 가지고 있는 빈집을 개량해서 근로자 숙소를 만들려고 하는데, 비용이 걱정입니다. 비용지원을 받을 수 있는 방법이 있나요?","농촌주택 개량사업을 통해 지원받을 수 있습니다.
☞ “농촌주택개량사업”이란 농촌지역의 주거환경 개선을 위해 농촌주택을 개량하거나 신축할 때 비용을 저금리로 융자 지원하는 사업을 말합니다.
※ 다만, 실제 대출금액은 대출한도 내에서 대출기관(농협)의 여신 규정이 정하는 바에 따라 한도가 달라질 수 있으므로 사업 신청 전에 대출기관과 충분한 상담이 필요합니다.
· 사업대상자: 농촌지역 거주(예정) 무주택자(농촌 빈집을 개량하거나 근로자 숙소로 사용시 1주택자도 가능)
· 대상주택: 연면적 150㎡ 이하 단독주택(주택+부속건축물)
· 세제혜택 : 취득세(280만원 한도) 및 농지보전부담금 감면 등
※ 사업 신청은 해당 주소지 시·군·구 홈페이지 고시 공고란을 참조하여 읍면 사무소에서 신청하실 수 있습니다.
대출 한도 | 금리 | 상환기간
「건축법」상 건축신고를 필요로 하는 주택의 개량 | 최대 1.5억원 | · 2% 고정 · 1.5% 고정(청년*,  23년 산불특별재난지역 이재민) ※ 변동금리 가능 | 1년 거치 19년 분할 또는 3년 거치 17년 분할 상환
「건축법」상 건축신고를 필요로 하는 주택의 신축 | 최대 2.5억원"
"['빈집 및 소규모주택 정비에 관한 특례법 11조', '빈집 및 소규모주택 정비에 관한 특례법 11조의3', '빈집 및 소규모주택 정비에 관한 특례법 시행령 10조의3']","서울에 사는 친척 집에 방문했다가, 근처에서 안전사고가 우려되는 빈집을 발견했습니다. 제가 집주인이 아닌데 신고가 가능한가요?","누구든지 도시지역의 빈집이 다음 중 어느 하나에 해당하는 빈집으로 인식한 경우 빈집이 소재한 지역 관할 특별자치시장·특별자치도지사·시장·군수 또는 자치구의 구청장(이하 “시장·군수등”이라 함)에게 신고할 수 있습니다.
☞ 누구든지 빈집이 다음 중 어느 하나에 해당하는 빈집으로 인식한 경우 빈집이 소재한 지역 관할 시장·군수등에게 신고할 수 있습니다.
· 붕괴·화재 등 안전사고나 범죄발생의 우려가 높은 경우
· 위생상 유해 우려가 있는 경우
· 관리가 적절히 되지 아니하여 현저히 경관을 훼손하고 있는 경우
· 주변 생활환경 보전을 위하여 방치하기에는 부적절한 경우
☞ 빈집에 대한 신고가 접수된 날부터 30일 이내에 다음의 방법으로 따라 현장조사가 진행됩니다.
· 빈집 해당 여부 확인
· 빈집의 노후·불량 정도 확인
· 빈집의 소유자·점유자 또는 관리인과의 면담
· 빈집 주변 거주자의 의견 청취"
"['빈집 및 소규모주택 정비에 관한 특례법 11조', '빈집 및 소규모주택 정비에 관한 특례법 65조', '빈집 및 소규모주택 정비에 관한 특례법 시행령 46조']",서울에 제가 소유한 빈집이 빈집정비계획에 따라 철거해야 된다고 합니다. 제가 이 조치에 따르지 않으면 어떻게 되나요?,"도시지역의 빈집 소유자가 특별한 사유 없이 빈집의 철거조치를 따르지 않을 경우, 특별자치시장·특별자치도지사·시장·군수 또는 자치구의 구청장(이하 “시장·군수등”이라 함)은 직권으로 해당 빈집에 대하여 철거조치를 할 수 있습니다.
☞ 시장·군수등은 안전사고나 범죄발생의 우려가 있거나 경관을 훼손하는 경우 등의 빈집에 대해 빈집정비계획에 따라 철거 등 필요요한 조치를 빈집의 소유자에게 명할 수 있습니다.
☞ 빈집 소유자가 특별한 사유 없이 위에 따른 빈집의 철거 등 필요한 조치를 따르지 않을 경우, 시장·군수등은 직권으로 해당 빈집에 대해 철거 등 필요한 조치를 할 수 있습니다.
☞ 시장·군수등은 철거등 조치명령을 받은 후 60일 이내에 조치명령을 이행하지 않은 소유자에게 「지방세법」에 따라 해당 건축물에 적용되는 1㎡의 시가표준액의 50%에 해당하는 금액에 연면적을 곱한 금액 이하의 범위에서 다음의 비율(각 비율의 50%의 범위에서 시·도조례로 낮추어 정하는 경우에는 그 비율을 말함)을 곱한 금액으로 이행강제금을 부과합니다.
1. 철거명령을 이행하지 않은 경우: 80%
2. 그 밖의 조치명령을 이행하지 않은 경우: 40%"
"['농어촌정비법 65조의5', '농어촌정비법 66조', '농어촌정비법 시행령 61조의2']","부모님이 돌아가시고 남은 농촌의 오래된 빈집을 철거하려고 하는데, 철거비용이 부담돼서 걱정입니다.","농어촌지역의 특정빈집 소유자는 빈집을 철거하는 경우 보상비를 지급 받을 수 있습니다.
☞ 농어촌지역의 특정빈집에 대한 조치로써 철거명령을 자진하여 이행한 빈집의 소유자가 농업 경영을 목적으로 주택 개량을 희망하는 경우에는 아래의 농어촌주택개량자금을 우선적으로 지원받을 수 있습니다.
☞ 시장(특별자치시의 경우에는 특별자치시장을 말하고, 특별자치도의 경우에는 특별자치도지사를 말함)·군수·구청장(광역시 자치구의 구청장을 말함)은 특정빈집을 철거하는 경우 정당한 보상비를 빈집의 소유자에게 지급해야 합니다. 이 경우 보상비에서 철거에 소요된 비용을 빼고 지급 할 수 있으며, 빈집 소유자가 보상비의 수령을 거부하거나 빈집 소유자의 소재불명(所在不明)으로 보상비를 지급할 수 없을 때에는 보상액에 해당하는 금액을 공탁해야 합니다.
☞ 철거보상비 산정은 특정빈집에 대한 직권 철거 결정을 특정빈집 소유자에게 통지한 시점을 기준으로 합니다
☞ 특정빈집 소유자는 직권 철거 결정을 알게 된 날부터 14일 이내에 시장·군수·구청장에게 사무소를 개설한 감정평가사와 인가를 받은 감정평가법인(이하 “감정평가법인등”이라 함)을 추천하여야 하며, 시장·군수·구청장은 특정빈집 소유자가 추천하는 감정평가법인등 1인을 포함하여 감정평가법인등을 선정해야 합니다. 다만, 특정빈집 소유자의 소재를 알 수 없거나 빈집 소유자가 14일 이내에 감정평가법인등을 추천하지 않은 경우에는 그러하지 않습니다
※ 철거보상비는 감정평가법인등 2인 이상이 평가한 금액의 산술평균치를 의미합니다."
