키워드,법령명,조문 번호,조문 내용
근로,산업재해보상보험법 시행령,23조 2호,"제23조(근로 형태가 특이한 근로자의 범위) 법 제36조제5항에서 ""근로 형태가 특이하여 평균임금을 적용하는 것이 적당하지 아니하다고 인정되는 경우로서 대통령령으로 정하는 경우""란 다음 각 호의 어느 하나에 해당하는 경우를 말한다. <개정 2023.6.27>
2. 둘 이상의 사업(보험료징수법 제5조제3항ㆍ제4항 및 제6조제2항ㆍ제3항에 따른 산재보험의 보험가입자가 운영하는 사업을 말한다)에서 근로하는 「근로기준법」 제2조제9호에 따른 단시간근로자(일용근로자는 제외하며, 이하 ""단시간근로자""라 한다)에게 평균임금을 적용하는 경우"
근로,산업재해보상보험법 시행령,123조,"제123조(중ㆍ소기업 사업주등의 업무상의 재해의 인정 기준) 법 제124조제1항에 따른 중ㆍ소기업 사업주 및 같은 조 제2항에 따른 중ㆍ소기업 사업주의 배우자 또는 4촌 이내의 친족(이하 ""중ㆍ소기업 사업주등""이라 한다)에 대한 같은 조 제4항에 따른 업무상의 재해의 인정 범위에 관하여는 제27조, 제28조, 제30조부터 제35조까지 및 제36조를 준용한다. 이 경우 ""근로자"" 및 ""진폐근로자""는 ""중ㆍ소기업 사업주등""으로 보고, 제27조 중 ""근로계약에 따른 업무수행 행위""는 ""해당 사업에 필요한 업무수행 행위""로 본다."
근로,근로기준법,17조 ①항 1호,"제17조(근로조건의 명시)
① 사용자는 근로계약을 체결할 때에 근로자에게 다음 각 호의 사항을 명시하여야 한다. 근로계약 체결 후 다음 각 호의 사항을 변경하는 경우에도 또한 같다. <개정 2010.5.25>
1. 임금"
근로,근로기준법,17조 ①항 2호,"제17조(근로조건의 명시)
① 사용자는 근로계약을 체결할 때에 근로자에게 다음 각 호의 사항을 명시하여야 한다. 근로계약 체결 후 다음 각 호의 사항을 변경하는 경우에도 또한 같다. <개정 2010.5.25>
2. 소정근로시간"
근로,근로기준법,17조 ①항 3호,"제17조(근로조건의 명시)
① 사용자는 근로계약을 체결할 때에 근로자에게 다음 각 호의 사항을 명시하여야 한다. 근로계약 체결 후 다음 각 호의 사항을 변경하는 경우에도 또한 같다. <개정 2010.5.25>
3. 제55조에 따른 휴일"
근로,근로기준법,17조 ①항 4호,"제17조(근로조건의 명시)
① 사용자는 근로계약을 체결할 때에 근로자에게 다음 각 호의 사항을 명시하여야 한다. 근로계약 체결 후 다음 각 호의 사항을 변경하는 경우에도 또한 같다. <개정 2010.5.25>
4. 제60조에 따른 연차 유급휴가"
근로,근로기준법,17조 ①항 5호,"제17조(근로조건의 명시)
① 사용자는 근로계약을 체결할 때에 근로자에게 다음 각 호의 사항을 명시하여야 한다. 근로계약 체결 후 다음 각 호의 사항을 변경하는 경우에도 또한 같다. <개정 2010.5.25>
5. 그 밖에 대통령령으로 정하는 근로조건"
근로,근로기준법,17조 ②항,"제17조(근로조건의 명시)
② 사용자는 제1항제1호와 관련한 임금의 구성항목ㆍ계산방법ㆍ지급방법 및 제2호부터 제4호까지의 사항이 명시된 서면(「전자문서 및 전자거래 기본법」 제2조제1호에 따른 전자문서를 포함한다)을 근로자에게 교부하여야 한다. 다만, 본문에 따른 사항이 단체협약 또는 취업규칙의 변경 등 대통령령으로 정하는 사유로 인하여 변경되는 경우에는 근로자의 요구가 있으면 그 근로자에게 교부하여야 한다. <신설 2010.5.25, 2021.1.5>"
근로,근로기준법,19조 ①항,"제19조(근로조건의 위반)
① 제17조에 따라 명시된 근로조건이 사실과 다를 경우에 근로자는 근로조건 위반을 이유로 손해의 배상을 청구할 수 있으며 즉시 근로계약을 해제할 수 있다."
근로,근로기준법,19조 ②항,"제19조(근로조건의 위반)
② 제1항에 따라 근로자가 손해배상을 청구할 경우에는 노동위원회에 신청할 수 있으며, 근로계약이 해제되었을 경우에는 사용자는 취업을 목적으로 거주를 변경하는 근로자에게 귀향 여비를 지급하여야 한다."
근로,근로기준법,114조 1호,"제114조(벌칙) 다음 각 호의 어느 하나에 해당하는 자는 500만원 이하의 벌금에 처한다. <개정 2007.7.27, 2008.3.28, 2009.5.21, 2012.2.1, 2018.3.20>
1. 제6조, 제16조, 제17조, 제20조, 제21조, 제22조제2항, 제47조, 제53조제4항 단서, 제67조제1항ㆍ제3항, 제70조제3항, 제73조, 제74조제6항, 제77조, 제94조, 제95조, 제100조 및 제103조를 위반한 자"
근로,근로기준법,114조 2호,"제114조(벌칙) 다음 각 호의 어느 하나에 해당하는 자는 500만원 이하의 벌금에 처한다. <개정 2007.7.27, 2008.3.28, 2009.5.21, 2012.2.1, 2018.3.20>
2. 제96조제2항에 따른 명령을 위반한 자"
근로,법률구조법 시행규칙,7조 ①항 1호,"제7조(법률구조 대상자)
① 법 제33조의3에 따른 공익법무관의 법률구조 대상자는 다음 각 호의 어느 하나에 해당하는 사람으로 한다.
1. 농어민"
근로,법률구조법 시행규칙,7조 ①항 2호,"제7조(법률구조 대상자)
① 법 제33조의3에 따른 공익법무관의 법률구조 대상자는 다음 각 호의 어느 하나에 해당하는 사람으로 한다.
2. 근로자 및 영세상인"
근로,법률구조법 시행규칙,7조 ①항 3호,"제7조(법률구조 대상자)
① 법 제33조의3에 따른 공익법무관의 법률구조 대상자는 다음 각 호의 어느 하나에 해당하는 사람으로 한다.
3. 국가공무원 및 지방공무원"
근로,법률구조법 시행규칙,7조 ①항 4호,"제7조(법률구조 대상자)
① 법 제33조의3에 따른 공익법무관의 법률구조 대상자는 다음 각 호의 어느 하나에 해당하는 사람으로 한다.
4. 국가보훈대상자"
근로,법률구조법 시행규칙,7조 ①항 5호,"제7조(법률구조 대상자)
① 법 제33조의3에 따른 공익법무관의 법률구조 대상자는 다음 각 호의 어느 하나에 해당하는 사람으로 한다.
5. 물품의 사용 및 용역의 이용으로 인한 피해를 입은 소비자"
근로,법률구조법 시행규칙,7조 ①항 6호,"제7조(법률구조 대상자)
① 법 제33조의3에 따른 공익법무관의 법률구조 대상자는 다음 각 호의 어느 하나에 해당하는 사람으로 한다.
6. 헌법재판소가 공익법무관을 국선대리인으로 선정한 사건의 청구인"
근로,법률구조법 시행규칙,7조 ①항 7호,"제7조(법률구조 대상자)
① 법 제33조의3에 따른 공익법무관의 법률구조 대상자는 다음 각 호의 어느 하나에 해당하는 사람으로 한다.
7. 법원이 공익법무관을 국선변호인으로 선정한 사건의 피의자 또는 피고인"
근로,법률구조법 시행규칙,7조 ①항 8호,"제7조(법률구조 대상자)
① 법 제33조의3에 따른 공익법무관의 법률구조 대상자는 다음 각 호의 어느 하나에 해당하는 사람으로 한다.
8. 국내 거주 외국인"
근로,법률구조법 시행규칙,7조 ①항 9호,"제7조(법률구조 대상자)
① 법 제33조의3에 따른 공익법무관의 법률구조 대상자는 다음 각 호의 어느 하나에 해당하는 사람으로 한다.
9. 「국민기초생활보장법」에 따른 수급자"
근로,법률구조법 시행규칙,7조 ①항 10호,"제7조(법률구조 대상자)
① 법 제33조의3에 따른 공익법무관의 법률구조 대상자는 다음 각 호의 어느 하나에 해당하는 사람으로 한다.
10. 장애인이나 그 밖에 생활이 어렵고 법을 몰라 스스로 법적 수단을 마련하지 못하는 국민"
근로,법률구조법 시행규칙,7조 ②항,"제7조(법률구조 대상자)
② 제1항 각 호에 따른 법률구조 대상자의 구체적 범위에 관하여는 법무부장관의 승인을 받아 법률구조법인의 내부규정으로 정한다."
근로,근로기준법,109조 ①항,"제109조(벌칙)
① 제36조, 제43조, 제44조, 제44조의2, 제46조, 제51조의3, 제52조제2항제2호, 제56조, 제65조, 제72조 또는 제76조의3제6항을 위반한 자는 3년 이하의 징역 또는 3천만원 이하의 벌금에 처한다. <개정 2007.7.27, 2017.11.28, 2019.1.15, 2021.1.5>"
근로,근로기준법,109조 ②항,"제109조(벌칙)
② 제36조, 제43조, 제44조, 제44조의2, 제46조, 제51조의3, 제52조제2항제2호 또는 제56조를 위반한 자에 대하여는 피해자의 명시적인 의사와 다르게 공소를 제기할 수 없다. 다만, 제43조의2에 따라 명단 공개된 체불사업주가 명단 공개 기간 중에 제36조, 제43조, 제44조, 제44조의2, 제46조, 제51조의3, 제52조제2항제2호 또는 제56조를 위반한 경우에는 그러하지 아니하다. <개정 2007.7.27, 2021.1.5, 2024.10.22>"
근로,산업재해보상보험법,6조,"제6조(적용 범위) 이 법은 근로자를 사용하는 모든 사업 또는 사업장(이하 ""사업""이라 한다)에 적용한다. 다만, 위험률ㆍ규모 및 장소 등을 고려하여 대통령령으로 정하는 사업에 대하여는 이 법을 적용하지 아니한다."
근로,산업재해보상보험법,16조 ①항,"제16조(임원)
① 공단의 임원은 이사장 1명과 상임이사 4명을 포함한 15명 이내의 이사와 감사 1명으로 한다. <개정 2010.1.27>"
근로,산업재해보상보험법,16조 ②항,"제16조(임원)
② 이사장ㆍ상임이사 및 감사의 임면(任免)에 관하여는 「공공기관의 운영에 관한 법률」 제26조에 따른다. <개정 2010.1.27>"
근로,산업재해보상보험법,16조 ③항 1호,"제16조(임원)
③ 비상임이사(제4항에 따라 당연히 비상임이사로 선임되는 사람은 제외한다)는 다음 각 호의 어느 하나에 해당하는 사람 중에서 「공공기관의 운영에 관한 법률」 제26조제3항에 따라 고용노동부장관이 임명한다. 이 경우 제1호와 제2호에 해당하는 비상임이사는 같은 수로 하되, 노사 어느 일방이 추천하지 아니하는 경우에는 그러하지 아니하다. <신설 2010.1.27, 2010.5.20, 2010.6.4>
1. 총연합단체인 노동조합이 추천하는 사람"
근로,산업재해보상보험법,16조 ③항 2호,"제16조(임원)
③ 비상임이사(제4항에 따라 당연히 비상임이사로 선임되는 사람은 제외한다)는 다음 각 호의 어느 하나에 해당하는 사람 중에서 「공공기관의 운영에 관한 법률」 제26조제3항에 따라 고용노동부장관이 임명한다. 이 경우 제1호와 제2호에 해당하는 비상임이사는 같은 수로 하되, 노사 어느 일방이 추천하지 아니하는 경우에는 그러하지 아니하다. <신설 2010.1.27, 2010.5.20, 2010.6.4>
2. 전국을 대표하는 사용자단체가 추천하는 사람"
근로,산업재해보상보험법,16조 ③항 3호,"제16조(임원)
③ 비상임이사(제4항에 따라 당연히 비상임이사로 선임되는 사람은 제외한다)는 다음 각 호의 어느 하나에 해당하는 사람 중에서 「공공기관의 운영에 관한 법률」 제26조제3항에 따라 고용노동부장관이 임명한다. 이 경우 제1호와 제2호에 해당하는 비상임이사는 같은 수로 하되, 노사 어느 일방이 추천하지 아니하는 경우에는 그러하지 아니하다. <신설 2010.1.27, 2010.5.20, 2010.6.4>
3. 사회보험 또는 근로복지사업에 관한 학식과 경험이 풍부한 사람으로서 「공공기관의 운영에 관한 법률」 제29조에 따른 임원추천위원회가 추천하는 사람"
근로,산업재해보상보험법,16조 ④항 1호,"제16조(임원)
④ 당연히 비상임이사로 선임되는 사람은 다음 각 호와 같다. <신설 2010.1.27, 2010.6.4>
1. 기획재정부에서 공단 예산 업무를 담당하는 3급 공무원 또는 고위공무원단에 속하는 일반직공무원 중에서 기획재정부장관이 지명하는 1명"
근로,산업재해보상보험법,16조 ④항 2호,"제16조(임원)
④ 당연히 비상임이사로 선임되는 사람은 다음 각 호와 같다. <신설 2010.1.27, 2010.6.4>
2. 고용노동부에서 산업재해보상보험 업무를 담당하는 3급 공무원 또는 고위공무원단에 속하는 일반직공무원 중에서 고용노동부장관이 지명하는 1명"
근로,산업재해보상보험법,16조 ⑤항,"제16조(임원)
⑤ 비상임이사에게는 보수를 지급하지 아니한다. 다만, 직무 수행에 드는 실제 비용은 지급할 수 있다. <개정 2010.1.27>"
근로,산업재해보상보험법,26조 ①항,"제26조(공단의 회계)
① 공단의 회계연도는 정부의 회계연도에 따른다."
근로,산업재해보상보험법,26조 ②항,"제26조(공단의 회계)
② 공단은 보험사업에 관한 회계를 공단의 다른 회계와 구분하여 회계처리하여야 한다. <개정 2018.6.12>"
근로,산업재해보상보험법,26조 ③항,"제26조(공단의 회계)
③ 공단은 고용노동부장관의 승인을 받아 회계규정을 정하여야 한다. <개정 2010.6.4>"
근로,산업재해보상보험법,26조 1호,"제26조의2(공단의 수입) 공단의 수입은 다음 각 호와 같다.
1. 정부나 정부 외의 자로부터 받은 출연금 또는 기부금"
근로,산업재해보상보험법,26조 2호,"제26조의2(공단의 수입) 공단의 수입은 다음 각 호와 같다.
2. 제11조에 따른 공단의 사업수행으로 발생한 수입 및 부대수입"
근로,산업재해보상보험법,26조 3호,"제26조의2(공단의 수입) 공단의 수입은 다음 각 호와 같다.
3. 제27조에 따른 차입금 및 이입충당금"
근로,산업재해보상보험법,26조 4호,"제26조의2(공단의 수입) 공단의 수입은 다음 각 호와 같다.
4. 제28조에 따른 잉여금"
근로,산업재해보상보험법,26조 5호,"제26조의2(공단의 수입) 공단의 수입은 다음 각 호와 같다.
5. 그 밖의 수입금"
근로,산업재해보상보험법,36조,제3장 보험급여
근로,산업재해보상보험법,36조 ①항 1호,"제36조(보험급여의 종류와 산정 기준 등)
① 보험급여의 종류는 다음 각 호와 같다. 다만, 진폐에 따른 보험급여의 종류는 제1호의 요양급여, 제4호의 간병급여, 제7호의 장례비, 제8호의 직업재활급여, 제91조의3에 따른 진폐보상연금 및 제91조의4에 따른 진폐유족연금으로 하고, 제91조의12에 따른 건강손상자녀에 대한 보험급여의 종류는 제1호의 요양급여, 제3호의 장해급여, 제4호의 간병급여, 제7호의 장례비, 제8호의 직업재활급여로 한다. <개정 2010.5.20, 2021.1.26, 2022.1.11>
1. 요양급여"
근로,산업재해보상보험법,36조 ①항 2호,"제36조(보험급여의 종류와 산정 기준 등)
① 보험급여의 종류는 다음 각 호와 같다. 다만, 진폐에 따른 보험급여의 종류는 제1호의 요양급여, 제4호의 간병급여, 제7호의 장례비, 제8호의 직업재활급여, 제91조의3에 따른 진폐보상연금 및 제91조의4에 따른 진폐유족연금으로 하고, 제91조의12에 따른 건강손상자녀에 대한 보험급여의 종류는 제1호의 요양급여, 제3호의 장해급여, 제4호의 간병급여, 제7호의 장례비, 제8호의 직업재활급여로 한다. <개정 2010.5.20, 2021.1.26, 2022.1.11>
2. 휴업급여"
근로,산업재해보상보험법,36조 ①항 3호,"제36조(보험급여의 종류와 산정 기준 등)
① 보험급여의 종류는 다음 각 호와 같다. 다만, 진폐에 따른 보험급여의 종류는 제1호의 요양급여, 제4호의 간병급여, 제7호의 장례비, 제8호의 직업재활급여, 제91조의3에 따른 진폐보상연금 및 제91조의4에 따른 진폐유족연금으로 하고, 제91조의12에 따른 건강손상자녀에 대한 보험급여의 종류는 제1호의 요양급여, 제3호의 장해급여, 제4호의 간병급여, 제7호의 장례비, 제8호의 직업재활급여로 한다. <개정 2010.5.20, 2021.1.26, 2022.1.11>
3. 장해급여"
근로,산업재해보상보험법,36조 ①항 4호,"제36조(보험급여의 종류와 산정 기준 등)
① 보험급여의 종류는 다음 각 호와 같다. 다만, 진폐에 따른 보험급여의 종류는 제1호의 요양급여, 제4호의 간병급여, 제7호의 장례비, 제8호의 직업재활급여, 제91조의3에 따른 진폐보상연금 및 제91조의4에 따른 진폐유족연금으로 하고, 제91조의12에 따른 건강손상자녀에 대한 보험급여의 종류는 제1호의 요양급여, 제3호의 장해급여, 제4호의 간병급여, 제7호의 장례비, 제8호의 직업재활급여로 한다. <개정 2010.5.20, 2021.1.26, 2022.1.11>
4. 간병급여"
근로,산업재해보상보험법,36조 ①항 5호,"제36조(보험급여의 종류와 산정 기준 등)
① 보험급여의 종류는 다음 각 호와 같다. 다만, 진폐에 따른 보험급여의 종류는 제1호의 요양급여, 제4호의 간병급여, 제7호의 장례비, 제8호의 직업재활급여, 제91조의3에 따른 진폐보상연금 및 제91조의4에 따른 진폐유족연금으로 하고, 제91조의12에 따른 건강손상자녀에 대한 보험급여의 종류는 제1호의 요양급여, 제3호의 장해급여, 제4호의 간병급여, 제7호의 장례비, 제8호의 직업재활급여로 한다. <개정 2010.5.20, 2021.1.26, 2022.1.11>
5. 유족급여"
근로,산업재해보상보험법,36조 ①항 6호,"제36조(보험급여의 종류와 산정 기준 등)
① 보험급여의 종류는 다음 각 호와 같다. 다만, 진폐에 따른 보험급여의 종류는 제1호의 요양급여, 제4호의 간병급여, 제7호의 장례비, 제8호의 직업재활급여, 제91조의3에 따른 진폐보상연금 및 제91조의4에 따른 진폐유족연금으로 하고, 제91조의12에 따른 건강손상자녀에 대한 보험급여의 종류는 제1호의 요양급여, 제3호의 장해급여, 제4호의 간병급여, 제7호의 장례비, 제8호의 직업재활급여로 한다. <개정 2010.5.20, 2021.1.26, 2022.1.11>
6. 상병(傷病)보상연금"
근로,산업재해보상보험법,36조 ①항 7호,"제36조(보험급여의 종류와 산정 기준 등)
① 보험급여의 종류는 다음 각 호와 같다. 다만, 진폐에 따른 보험급여의 종류는 제1호의 요양급여, 제4호의 간병급여, 제7호의 장례비, 제8호의 직업재활급여, 제91조의3에 따른 진폐보상연금 및 제91조의4에 따른 진폐유족연금으로 하고, 제91조의12에 따른 건강손상자녀에 대한 보험급여의 종류는 제1호의 요양급여, 제3호의 장해급여, 제4호의 간병급여, 제7호의 장례비, 제8호의 직업재활급여로 한다. <개정 2010.5.20, 2021.1.26, 2022.1.11>
7. 장례비"
근로,산업재해보상보험법,36조 ①항 8호,"제36조(보험급여의 종류와 산정 기준 등)
① 보험급여의 종류는 다음 각 호와 같다. 다만, 진폐에 따른 보험급여의 종류는 제1호의 요양급여, 제4호의 간병급여, 제7호의 장례비, 제8호의 직업재활급여, 제91조의3에 따른 진폐보상연금 및 제91조의4에 따른 진폐유족연금으로 하고, 제91조의12에 따른 건강손상자녀에 대한 보험급여의 종류는 제1호의 요양급여, 제3호의 장해급여, 제4호의 간병급여, 제7호의 장례비, 제8호의 직업재활급여로 한다. <개정 2010.5.20, 2021.1.26, 2022.1.11>
8. 직업재활급여"
근로,산업재해보상보험법,36조 ②항,"제36조(보험급여의 종류와 산정 기준 등)
② 제1항에 따른 보험급여는 제40조, 제52조부터 제57조까지, 제60조부터 제62조까지, 제66조부터 제69조까지, 제71조, 제72조, 제91조의3 및 제91조의4에 따른 보험급여를 받을 수 있는 사람(이하 ""수급권자""라 한다)의 청구에 따라 지급한다. <개정 2010.5.20, 2020.5.26>"
근로,산업재해보상보험법,36조 ③항,"제36조(보험급여의 종류와 산정 기준 등)
③ 보험급여를 산정하는 경우 해당 근로자의 평균임금을 산정하여야 할 사유가 발생한 날부터 1년이 지난 이후에는 매년 전체 근로자의 임금 평균액의 증감률에 따라 평균임금을 증감하되, 그 근로자의 연령이 60세에 도달한 이후에는 소비자물가변동률에 따라 평균임금을 증감한다. 다만, 제6항에 따라 산정한 금액을 평균임금으로 보는 진폐에 걸린 근로자에 대한 보험급여는 제외한다. <개정 2010.5.20>"
근로,산업재해보상보험법,36조 ④항,"제36조(보험급여의 종류와 산정 기준 등)
④ 제3항에 따른 전체 근로자의 임금 평균액의 증감률 및 소비자물가변동률의 산정 기준과 방법은 대통령령으로 정한다. 이 경우 산정된 증감률 및 변동률은 매년 고용노동부장관이 고시한다. <개정 2010.6.4>"
근로,산업재해보상보험법,36조 ⑤항,"제36조(보험급여의 종류와 산정 기준 등)
⑤ 보험급여(진폐보상연금 및 진폐유족연금은 제외한다)를 산정할 때 해당 근로자의 근로 형태가 특이하여 평균임금을 적용하는 것이 적당하지 아니하다고 인정되는 경우로서 대통령령으로 정하는 경우에는 대통령령으로 정하는 산정 방법에 따라 산정한 금액을 평균임금으로 한다. <개정 2010.5.20>"
근로,산업재해보상보험법,36조 ⑥항,"제36조(보험급여의 종류와 산정 기준 등)
⑥ 보험급여를 산정할 때 진폐 등 대통령령으로 정하는 직업병으로 보험급여를 받게 되는 근로자에게 그 평균임금을 적용하는 것이 근로자의 보호에 적당하지 아니하다고 인정되면 대통령령으로 정하는 산정 방법에 따라 산정한 금액을 그 근로자의 평균임금으로 한다. <개정 2010.5.20>"
근로,산업재해보상보험법,36조 ⑦항,"제36조(보험급여의 종류와 산정 기준 등)
⑦ 보험급여(장례비는 제외한다)를 산정할 때 그 근로자의 평균임금 또는 제3항부터 제6항까지의 규정에 따라 보험급여의 산정 기준이 되는 평균임금이 「고용정책 기본법」 제17조의 고용구조 및 인력수요 등에 관한 통계에 따른 상용근로자 5명 이상 사업체의 전체 근로자의 임금 평균액의 1.8배(이하 ""최고 보상기준 금액""이라 한다)를 초과하거나, 2분의 1(이하 ""최저 보상기준 금액""이라 한다)보다 적으면 그 최고 보상기준 금액이나 최저 보상기준 금액을 각각 그 근로자의 평균임금으로 하되, 최저 보상기준 금액이 「최저임금법」 제5조제1항에 따른 시간급 최저임금액에 8을 곱한 금액(이하 ""최저임금액""이라 한다)보다 적으면 그 최저임금액을 최저 보상기준 금액으로 한다. 다만, 휴업급여 및 상병보상연금을 산정할 때에는 최저 보상기준 금액을 적용하지 아니한다. <개정 2018.6.12, 2021.1.26>"
근로,산업재해보상보험법,36조 ⑧항,"제36조(보험급여의 종류와 산정 기준 등)
⑧ 최고 보상기준 금액이나 최저 보상기준 금액의 산정방법 및 적용기간은 대통령령으로 정한다. 이 경우 산정된 최고 보상기준 금액 또는 최저 보상기준 금액은 매년 고용노동부장관이 고시한다. <개정 2010.6.4>"
근로,산업재해보상보험법,46조 ①항,"제46조(약제비의 청구 등)
① 공단은 제40조제4항제2호에 따른 약제의 지급을 「약사법」 제20조에 따라 등록한 약국을 통하여 할 수 있다."
근로,산업재해보상보험법,46조 ②항,"제46조(약제비의 청구 등)
② 제1항에 따른 약국이 약제비를 받으려면 공단에 청구하여야 한다."
근로,산업재해보상보험법,46조 ③항,"제46조(약제비의 청구 등)
③ 제2항에 따라 청구된 약제비에 관한 심사 및 결정, 지급 방법 및 지급 절차는 고용노동부령으로 정한다. <개정 2010.6.4>"
근로,산업재해보상보험법,56조 ①항,"제56조(재요양 기간 중의 휴업급여)
① 재요양을 받는 사람에 대하여는 재요양 당시의 임금을 기준으로 산정한 평균임금의 100분의 70에 상당하는 금액을 1일당 휴업급여 지급액으로 한다. 이 경우 평균임금 산정사유 발생일은 대통령령으로 정한다. <개정 2020.5.26>"
근로,산업재해보상보험법,56조 ②항,"제56조(재요양 기간 중의 휴업급여)
② 제1항에 따라 산정한 1일당 휴업급여 지급액이 최저임금액보다 적거나 재요양 당시 평균임금 산정의 대상이 되는 임금이 없으면 최저임금액을 1일당 휴업급여 지급액으로 한다."
근로,산업재해보상보험법,56조 ③항,"제56조(재요양 기간 중의 휴업급여)
③ 장해보상연금을 지급받는 사람이 재요양하는 경우에는 1일당 장해보상연금액(별표 2에 따라 산정한 장해보상연금액을 365로 나눈 금액을 말한다. 이하 같다)과 제1항 또는 제2항에 따라 산정한 1일당 휴업급여 지급액을 합한 금액이 장해보상연금의 산정에 적용되는 평균임금의 100분의 70을 초과하면 그 초과하는 금액 중 휴업급여에 해당하는 금액은 지급하지 아니한다. <개정 2020.5.26>"
근로,산업재해보상보험법,56조 ④항,"제56조(재요양 기간 중의 휴업급여)
④ 재요양 기간 중의 휴업급여를 산정할 때에는 제54조를 적용하지 아니한다."
근로,산업재해보상보험법,66조 ①항 1호,"제66조(상병보상연금)
① 요양급여를 받는 근로자가 요양을 시작한 지 2년이 지난 날 이후에 다음 각 호의 요건 모두에 해당하는 상태가 계속되면 휴업급여 대신 상병보상연금을 그 근로자에게 지급한다. <개정 2010.1.27, 2018.6.12>
1. 그 부상이나 질병이 치유되지 아니한 상태일 것"
근로,산업재해보상보험법,66조 ①항 2호,"제66조(상병보상연금)
① 요양급여를 받는 근로자가 요양을 시작한 지 2년이 지난 날 이후에 다음 각 호의 요건 모두에 해당하는 상태가 계속되면 휴업급여 대신 상병보상연금을 그 근로자에게 지급한다. <개정 2010.1.27, 2018.6.12>
2. 그 부상이나 질병에 따른 중증요양상태의 정도가 대통령령으로 정하는 중증요양상태등급 기준에 해당할 것"
근로,산업재해보상보험법,66조 ①항 3호,"제66조(상병보상연금)
① 요양급여를 받는 근로자가 요양을 시작한 지 2년이 지난 날 이후에 다음 각 호의 요건 모두에 해당하는 상태가 계속되면 휴업급여 대신 상병보상연금을 그 근로자에게 지급한다. <개정 2010.1.27, 2018.6.12>
3. 요양으로 인하여 취업하지 못하였을 것"
근로,산업재해보상보험법,66조 ②항,"제66조(상병보상연금)
② 상병보상연금은 별표 4에 따른 중증요양상태등급에 따라 지급한다. <개정 2018.6.12>"
근로,산업재해보상보험법,76조 ①항,"제76조(보험급여의 일시지급)
① 대한민국 국민이 아닌 근로자가 업무상의 재해에 따른 부상 또는 질병으로 요양 중 치유되기 전에 출국하기 위하여 보험급여의 일시지급을 신청하는 경우에는 출국하기 위하여 요양을 중단하는 날 이후에 청구 사유가 발생할 것으로 예상되는 보험급여를 한꺼번에 지급할 수 있다. <개정 2010.1.27>"
근로,산업재해보상보험법,76조 ②항 1호,"제76조(보험급여의 일시지급)
② 제1항에 따라 한꺼번에 지급할 수 있는 금액은 다음 각 호의 보험급여를 미리 지급하는 기간에 따른 이자 등을 고려하여 대통령령으로 정하는 방법에 따라 각각 환산한 금액을 합한 금액으로 한다. 이 경우 해당 근로자가 제3호 및 제4호에 따른 보험급여의 지급사유 모두에 해당될 것으로 의학적으로 판단되는 경우에는 제4호에 해당하는 보험급여의 금액은 합산하지 아니한다. <개정 2010.1.27, 2010.5.20, 2018.6.12, 2020.5.26>
1. 출국하기 위하여 요양을 중단하는 날부터 업무상의 재해에 따른 부상 또는 질병이 치유될 것으로 예상되는 날까지의 요양급여"
근로,산업재해보상보험법,76조 ②항 2호,"제76조(보험급여의 일시지급)
② 제1항에 따라 한꺼번에 지급할 수 있는 금액은 다음 각 호의 보험급여를 미리 지급하는 기간에 따른 이자 등을 고려하여 대통령령으로 정하는 방법에 따라 각각 환산한 금액을 합한 금액으로 한다. 이 경우 해당 근로자가 제3호 및 제4호에 따른 보험급여의 지급사유 모두에 해당될 것으로 의학적으로 판단되는 경우에는 제4호에 해당하는 보험급여의 금액은 합산하지 아니한다. <개정 2010.1.27, 2010.5.20, 2018.6.12, 2020.5.26>
2. 출국하기 위하여 요양을 중단하는 날부터 업무상 부상 또는 질병이 치유되거나 그 부상ㆍ질병 상태가 취업할 수 있게 될 것으로 예상되는 날(그 예상되는 날이 요양 개시일부터 2년이 넘는 경우에는 요양 개시일부터 2년이 되는 날)까지의 기간에 대한 휴업급여"
근로,산업재해보상보험법,76조 ②항 3호,"제76조(보험급여의 일시지급)
② 제1항에 따라 한꺼번에 지급할 수 있는 금액은 다음 각 호의 보험급여를 미리 지급하는 기간에 따른 이자 등을 고려하여 대통령령으로 정하는 방법에 따라 각각 환산한 금액을 합한 금액으로 한다. 이 경우 해당 근로자가 제3호 및 제4호에 따른 보험급여의 지급사유 모두에 해당될 것으로 의학적으로 판단되는 경우에는 제4호에 해당하는 보험급여의 금액은 합산하지 아니한다. <개정 2010.1.27, 2010.5.20, 2018.6.12, 2020.5.26>
3. 출국하기 위하여 요양을 중단할 당시 업무상의 재해에 따른 부상 또는 질병이 치유된 후에 남을 것으로 예상되는 장해의 장해등급에 해당하는 장해보상일시금"
